Accepted Processes:
Process ID: 0, Details: ProcessHybrid(id=0, arrival_time=1738563346.3768153, execution_time=1.5242829769809179, starting_deadline=1738563347.6373532, ending_deadline=1738563348.7338774, value=42, missed_deadline=False)
Process ID: 1, Details: ProcessHybrid(id=1, arrival_time=1738563346.6173847, execution_time=1.4747520887848062, starting_deadline=1738563347.4339848, ending_deadline=1738563348.5163293, value=43, missed_deadline=False)
Process ID: 2, Details: ProcessHybrid(id=2, arrival_time=1738563346.9735413, execution_time=1.4706819760165164, starting_deadline=1738563348.36521, ending_deadline=1738563349.460261, value=86, missed_deadline=False)
Process ID: 3, Details: ProcessHybrid(id=3, arrival_time=1738563347.363199, execution_time=1.063497344014115, starting_deadline=1738563348.8161345, ending_deadline=1738563349.7243779, value=49, missed_deadline=False)
Process ID: 4, Details: ProcessHybrid(id=4, arrival_time=1738563347.7054565, execution_time=1.6769395101304765, starting_deadline=1738563348.5482013, ending_deadline=1738563350.100532, value=82, missed_deadline=False)
Process ID: 6, Details: ProcessHybrid(id=6, arrival_time=1738563348.4069524, execution_time=0.9616687627965932, starting_deadline=1738563349.370572, ending_deadline=1738563350.1689904, value=43, missed_deadline=False)
Process ID: 7, Details: ProcessHybrid(id=7, arrival_time=1738563348.6403189, execution_time=1.9558851155270298, starting_deadline=1738563349.766367, ending_deadline=1738563350.8659854, value=33, missed_deadline=False)
Process ID: 8, Details: ProcessHybrid(id=8, arrival_time=1738563348.904358, execution_time=1.3422416031078197, starting_deadline=1738563350.0851836, ending_deadline=1738563350.7217116, value=32, missed_deadline=False)
Process ID: 9, Details: ProcessHybrid(id=9, arrival_time=1738563349.2468684, execution_time=0.9369361684830304, starting_deadline=1738563351.0644243, ending_deadline=1738563351.5452967, value=24, missed_deadline=False)
Process ID: 11, Details: ProcessHybrid(id=11, arrival_time=1738563349.8199227, execution_time=1.5061306926293723, starting_deadline=1738563350.9987147, ending_deadline=1738563352.0086412, value=62, missed_deadline=False)
Process ID: 12, Details: ProcessHybrid(id=12, arrival_time=1738563350.0532508, execution_time=1.8609574113858474, starting_deadline=1738563351.880464, ending_deadline=1738563352.2634556, value=47, missed_deadline=False)
Process ID: 13, Details: ProcessHybrid(id=13, arrival_time=1738563350.3188362, execution_time=1.5583734933514413, starting_deadline=1738563351.838942, ending_deadline=1738563352.3369315, value=48, missed_deadline=False)
Process ID: 16, Details: ProcessHybrid(id=16, arrival_time=1738563351.2373126, execution_time=1.0636678768125696, starting_deadline=1738563353.1041467, ending_deadline=1738563353.365909, value=12, missed_deadline=False)
Process ID: 17, Details: ProcessHybrid(id=17, arrival_time=1738563351.502689, execution_time=1.7615004220957007, starting_deadline=1738563353.1648855, ending_deadline=1738563353.6641958, value=30, missed_deadline=False)
Process ID: 18, Details: ProcessHybrid(id=18, arrival_time=1738563351.8015456, execution_time=1.0542587309115254, starting_deadline=1738563353.0646198, ending_deadline=1738563354.1167753, value=57, missed_deadline=False)
Process ID: 19, Details: ProcessHybrid(id=19, arrival_time=1738563352.1422086, execution_time=1.0504434456385616, starting_deadline=1738563352.7081482, ending_deadline=1738563353.9255967, value=8, missed_deadline=False)
Process ID: 20, Details: ProcessHybrid(id=20, arrival_time=1738563352.4037602, execution_time=0.9591305587012391, starting_deadline=1738563353.3895295, ending_deadline=1738563354.6130488, value=41, missed_deadline=False)
Process ID: 21, Details: ProcessHybrid(id=21, arrival_time=1738563352.621161, execution_time=1.3772206687728001, starting_deadline=1738563354.5393496, ending_deadline=1738563355.096184, value=12, missed_deadline=False)
Process ID: 22, Details: ProcessHybrid(id=22, arrival_time=1738563352.9933534, execution_time=1.6754809085389182, starting_deadline=1738563353.5517685, ending_deadline=1738563354.865448, value=81, missed_deadline=False)
Process ID: 23, Details: ProcessHybrid(id=23, arrival_time=1738563353.3531234, execution_time=1.6425030821384914, starting_deadline=1738563354.977691, ending_deadline=1738563355.8264387, value=49, missed_deadline=False)
Process ID: 24, Details: ProcessHybrid(id=24, arrival_time=1738563353.588194, execution_time=0.5859324336321509, starting_deadline=1738563355.3208516, ending_deadline=1738563355.616718, value=49, missed_deadline=False)
Process ID: 25, Details: ProcessHybrid(id=25, arrival_time=1738563353.8816195, execution_time=0.948755808481273, starting_deadline=1738563355.7349148, ending_deadline=1738563355.8492205, value=84, missed_deadline=False)
Process ID: 26, Details: ProcessHybrid(id=26, arrival_time=1738563354.2080472, execution_time=1.258000966994136, starting_deadline=1738563354.740983, ending_deadline=1738563356.6749883, value=97, missed_deadline=False)
Process ID: 27, Details: ProcessHybrid(id=27, arrival_time=1738563354.5677803, execution_time=1.624109701647153, starting_deadline=1738563355.5784533, ending_deadline=1738563357.0189552, value=34, missed_deadline=False)
Process ID: 28, Details: ProcessHybrid(id=28, arrival_time=1738563354.7865212, execution_time=1.2456170300403113, starting_deadline=1738563356.59696, ending_deadline=1738563356.688985, value=86, missed_deadline=False)
Process ID: 30, Details: ProcessHybrid(id=30, arrival_time=1738563355.407557, execution_time=0.8610152158866384, starting_deadline=1738563356.470207, ending_deadline=1738563357.5191119, value=82, missed_deadline=False)
Process ID: 31, Details: ProcessHybrid(id=31, arrival_time=1738563355.7969735, execution_time=1.7360322781365312, starting_deadline=1738563357.7959168, ending_deadline=1738563357.9764168, value=84, missed_deadline=False)
Process ID: 32, Details: ProcessHybrid(id=32, arrival_time=1738563356.13842, execution_time=1.952924912700179, starting_deadline=1738563358.0663824, ending_deadline=1738563358.3455606, value=42, missed_deadline=False)
Process ID: 33, Details: ProcessHybrid(id=33, arrival_time=1738563356.4674451, execution_time=0.7316186640068888, starting_deadline=1738563357.1071832, ending_deadline=1738563358.3209534, value=86, missed_deadline=False)
Process ID: 34, Details: ProcessHybrid(id=34, arrival_time=1738563356.8565795, execution_time=1.1437766813624217, starting_deadline=1738563358.466748, ending_deadline=1738563358.5743847, value=43, missed_deadline=False)
Process ID: 35, Details: ProcessHybrid(id=35, arrival_time=1738563357.0894978, execution_time=0.7003775172132691, starting_deadline=1738563358.257577, ending_deadline=1738563358.8937497, value=2, missed_deadline=False)
Process ID: 36, Details: ProcessHybrid(id=36, arrival_time=1738563357.4939237, execution_time=1.7715742736550473, starting_deadline=1738563358.6665595, ending_deadline=1738563359.3484333, value=4, missed_deadline=False)
Process ID: 37, Details: ProcessHybrid(id=37, arrival_time=1738563357.7282023, execution_time=1.8151552402769733, starting_deadline=1738563359.107564, ending_deadline=1738563359.783903, value=5, missed_deadline=False)
Process ID: 38, Details: ProcessHybrid(id=38, arrival_time=1738563358.1012895, execution_time=0.5896348733128574, starting_deadline=1738563359.4157114, ending_deadline=1738563360.4639354, value=47, missed_deadline=False)
Process ID: 39, Details: ProcessHybrid(id=39, arrival_time=1738563358.427547, execution_time=1.2187062926704104, starting_deadline=1738563359.2846947, ending_deadline=1738563360.576214, value=78, missed_deadline=False)
Process ID: 40, Details: ProcessHybrid(id=40, arrival_time=1738563358.75316, execution_time=1.7659775653763417, starting_deadline=1738563359.9830713, ending_deadline=1738563360.5759673, value=91, missed_deadline=False)
Process ID: 41, Details: ProcessHybrid(id=41, arrival_time=1738563359.0787737, execution_time=1.61135871009929, starting_deadline=1738563360.9155483, ending_deadline=1738563360.9274807, value=46, missed_deadline=False)
Process ID: 42, Details: ProcessHybrid(id=42, arrival_time=1738563359.3440037, execution_time=1.902811008377138, starting_deadline=1738563360.7988298, ending_deadline=1738563361.333117, value=61, missed_deadline=False)
Process ID: 43, Details: ProcessHybrid(id=43, arrival_time=1738563359.7158666, execution_time=1.2534741852746905, starting_deadline=1738563360.614066, ending_deadline=1738563361.424095, value=94, missed_deadline=False)
Process ID: 44, Details: ProcessHybrid(id=44, arrival_time=1738563359.9839509, execution_time=1.9837144386974903, starting_deadline=1738563361.6004806, ending_deadline=1738563362.12092, value=11, missed_deadline=False)
Process ID: 46, Details: ProcessHybrid(id=46, arrival_time=1738563360.5769906, execution_time=1.779740836289835, starting_deadline=1738563362.2223322, ending_deadline=1738563362.8972638, value=27, missed_deadline=False)
Process ID: 47, Details: ProcessHybrid(id=47, arrival_time=1738563360.8534684, execution_time=0.6152410122725234, starting_deadline=1738563361.7969286, ending_deadline=1738563363.149847, value=78, missed_deadline=False)
Process ID: 48, Details: ProcessHybrid(id=48, arrival_time=1738563361.104435, execution_time=0.8263566590995683, starting_deadline=1738563362.7916934, ending_deadline=1738563362.8400235, value=60, missed_deadline=False)
Process ID: 49, Details: ProcessHybrid(id=49, arrival_time=1738563361.4821746, execution_time=1.9669317262926997, starting_deadline=1738563362.1819863, ending_deadline=1738563363.5844822, value=70, missed_deadline=False)
