CPUs: 1, Missed Processes: 75, Hit Rate: 25.0%
CPUs: 2, Missed Processes: 56, Hit Rate: 44.0%
CPUs: 3, Missed Processes: 42, Hit Rate: 57.99999999999999%
CPUs: 4, Missed Processes: 22, Hit Rate: 78.0%
CPUs: 5, Missed Processes: 11, Hit Rate: 89.0%
CPUs: 6, Missed Processes: 7, Hit Rate: 93.0%
CPUs: 7, Missed Processes: 5, Hit Rate: 95.0%
CPUs: 8, Missed Processes: 4, Hit Rate: 96.0%
CPUs: 9, Missed Processes: 6, Hit Rate: 94.0%
CPUs: 10, Missed Processes: 1, Hit Rate: 99.0%
CPUs: 11, Missed Processes: 4, Hit Rate: 96.0%
CPUs: 12, Missed Processes: 3, Hit Rate: 97.0%
CPUs: 13, Missed Processes: 2, Hit Rate: 98.0%
CPUs: 14, Missed Processes: 2, Hit Rate: 98.0%
CPUs: 15, Missed Processes: 5, Hit Rate: 95.0%
CPUs: 16, Missed Processes: 4, Hit Rate: 96.0%
CPUs: 17, Missed Processes: 2, Hit Rate: 98.0%
CPUs: 18, Missed Processes: 5, Hit Rate: 95.0%
CPUs: 19, Missed Processes: 1, Hit Rate: 99.0%
CPUs: 20, Missed Processes: 5, Hit Rate: 95.0%
