CPUs: 1, Missed Processes: 8, Hit Rate: 96.0%
CPUs: 2, Missed Processes: 11, Hit Rate: 94.5%
CPUs: 3, Missed Processes: 7, Hit Rate: 96.5%
CPUs: 4, Missed Processes: 6, Hit Rate: 97.0%
CPUs: 5, Missed Processes: 13, Hit Rate: 93.5%
CPUs: 6, Missed Processes: 5, Hit Rate: 97.5%
CPUs: 7, Missed Processes: 12, Hit Rate: 94.0%
CPUs: 8, Missed Processes: 5, Hit Rate: 97.5%
CPUs: 9, Missed Processes: 9, Hit Rate: 95.5%
CPUs: 10, Missed Processes: 5, Hit Rate: 97.5%
CPUs: 11, Missed Processes: 13, Hit Rate: 93.5%
CPUs: 12, Missed Processes: 4, Hit Rate: 98.0%
CPUs: 13, Missed Processes: 8, Hit Rate: 96.0%
CPUs: 14, Missed Processes: 4, Hit Rate: 98.0%
CPUs: 15, Missed Processes: 6, Hit Rate: 97.0%
CPUs: 16, Missed Processes: 6, Hit Rate: 97.0%
CPUs: 17, Missed Processes: 5, Hit Rate: 97.5%
CPUs: 18, Missed Processes: 10, Hit Rate: 95.0%
CPUs: 19, Missed Processes: 3, Hit Rate: 98.5%
CPUs: 20, Missed Processes: 7, Hit Rate: 96.5%
CPUs: 21, Missed Processes: 6, Hit Rate: 97.0%
CPUs: 22, Missed Processes: 12, Hit Rate: 94.0%
CPUs: 23, Missed Processes: 6, Hit Rate: 97.0%
CPUs: 24, Missed Processes: 3, Hit Rate: 98.5%
CPUs: 25, Missed Processes: 6, Hit Rate: 97.0%
CPUs: 26, Missed Processes: 10, Hit Rate: 95.0%
CPUs: 27, Missed Processes: 7, Hit Rate: 96.5%
CPUs: 28, Missed Processes: 7, Hit Rate: 96.5%
CPUs: 29, Missed Processes: 7, Hit Rate: 96.5%
CPUs: 30, Missed Processes: 8, Hit Rate: 96.0%
